Date,RF10Y
2/1/1990,8.43
3/1/1990,8.67
4/1/1990,8.7
5/1/1990,8.74
6/1/1990,8.82
7/1/1990,8.58
8/1/1990,8.9
9/1/1990,9.09
10/1/1990,9.09
11/1/1990,8.95
12/1/1990,8.85
1/1/1991,8.94
2/1/1991,8.42
3/1/1991,8.41
4/1/1991,8.39
5/1/1991,8.39
6/1/1991,8.39
7/1/1991,8.61
8/1/1991,8.56
9/1/1991,8.45
10/1/1991,8.36
11/1/1991,8.34
12/1/1991,8.24
1/1/1992,7.98
2/1/1992,7.92
3/1/1992,8
4/1/1992,8.04
5/1/1992,8.08
6/1/1992,8.06
7/1/1992,8.12
8/1/1992,8.08
9/1/1992,7.71
10/1/1992,7.47
11/1/1992,7.38
12/1/1992,7.33
1/1/1993,7.15
2/1/1993,6.94
3/1/1993,6.66
4/1/1993,6.68
5/1/1993,6.83
6/1/1993,6.81
7/1/1993,6.62
8/1/1993,6.41
9/1/1993,6.2
10/1/1993,6
11/1/1993,5.98
12/1/1993,5.85
1/1/1994,5.8
2/1/1994,6.07
3/1/1994,6.34
4/1/1994,6.48
5/1/1994,6.66
6/1/1994,7.05
7/1/1994,6.9
8/1/1994,7.09
9/1/1994,7.52
10/1/1994,7.54
11/1/1994,7.49
12/1/1994,7.46
1/1/1995,7.6
2/1/1995,7.42
3/1/1995,7.28
4/1/1995,7.09
5/1/1995,6.86
6/1/1995,6.78
7/1/1995,6.86
8/1/1995,6.74
9/1/1995,6.59
10/1/1995,6.57
11/1/1995,6.34
12/1/1995,6.07
1/1/1996,5.89
2/1/1996,6.2
3/1/1996,6.44
4/1/1996,6.38
5/1/1996,6.45
6/1/1996,6.56
7/1/1996,6.48
8/1/1996,6.3
9/1/1996,6.23
10/1/1996,6.01
11/1/1996,5.86
12/1/1996,5.79
1/1/1997,5.8
2/1/1997,5.55
3/1/1997,5.71
4/1/1997,5.87
5/1/1997,5.76
6/1/1997,5.72
7/1/1997,5.56
8/1/1997,5.66
9/1/1997,5.59
10/1/1997,5.58
11/1/1997,5.56
12/1/1997,5.33
1/1/1998,5.11
2/1/1998,4.99
3/1/1998,4.9
4/1/1998,4.9
5/1/1998,4.96
6/1/1998,4.8
7/1/1998,4.68
8/1/1998,4.42
9/1/1998,4.06
10/1/1998,4.06
11/1/1998,4.12
12/1/1998,3.86
1/1/1999,3.7
2/1/1999,3.85
3/1/1999,4.04
4/1/1999,3.85
5/1/1999,4.01
6/1/1999,4.36
7/1/1999,4.68
8/1/1999,4.88
9/1/1999,5.04
10/1/1999,5.29
11/1/1999,5.04
12/1/1999,5.15
1/1/2000,5.54
2/1/2000,5.51
3/1/2000,5.33
4/1/2000,5.22
5/1/2000,5.38
6/1/2000,5.19
7/1/2000,5.27
8/1/2000,5.21
9/1/2000,5.26
10/1/2000,5.21
11/1/2000,5.15
12/1/2000,4.89
1/1/2001,4.8
2/1/2001,4.78
3/1/2001,4.67
4/1/2001,4.83
5/1/2001,5.05
6/1/2001,5
7/1/2001,5.02
8/1/2001,4.82
9/1/2001,4.81
10/1/2001,4.6
11/1/2001,4.45
12/1/2001,4.74
1/1/2002,4.86
2/1/2002,4.92
3/1/2002,5.16
4/1/2002,5.15
5/1/2002,5.17
6/1/2002,5.02
7/1/2002,4.87
8/1/2002,4.59
9/1/2002,4.38
10/1/2002,4.46
11/1/2002,4.48
12/1/2002,4.33
1/1/2003,4.18
2/1/2003,3.95
3/1/2003,4
4/1/2003,4.15
5/1/2003,3.82
6/1/2003,3.62
7/1/2003,3.97
8/1/2003,4.13
9/1/2003,4.17
10/1/2003,4.22
11/1/2003,4.35
12/1/2003,4.29
1/1/2004,4.17
2/1/2004,4.11
3/1/2004,3.91
4/1/2004,4.1
5/1/2004,4.25
6/1/2004,4.31
7/1/2004,4.24
8/1/2004,4.08
9/1/2004,4.02
10/1/2004,3.89
11/1/2004,3.78
12/1/2004,3.58
1/1/2005,3.56
2/1/2005,3.54
3/1/2005,3.7
4/1/2005,3.48
5/1/2005,3.3
6/1/2005,3.13
7/1/2005,3.2
8/1/2005,3.23
9/1/2005,3.07
10/1/2005,3.24
11/1/2005,3.45
12/1/2005,3.34
1/1/2006,3.32
2/1/2006,3.47
3/1/2006,3.64
4/1/2006,3.89
5/1/2006,3.96
6/1/2006,3.96
7/1/2006,4.01
8/1/2006,3.88
9/1/2006,3.75
10/1/2006,3.79
11/1/2006,3.71
12/1/2006,3.77
1/1/2007,4.02
2/1/2007,4.05
3/1/2007,3.94
4/1/2007,4.15
5/1/2007,4.28
6/1/2007,4.56
7/1/2007,4.5
8/1/2007,4.3
9/1/2007,4.22
10/1/2007,4.28
11/1/2007,4.09
12/1/2007,4.21
1/1/2008,4.03
2/1/2008,3.95
3/1/2008,3.8
4/1/2008,4.04
5/1/2008,4.2
6/1/2008,4.52
7/1/2008,4.49
8/1/2008,4.2
9/1/2008,4.09
10/1/2008,3.88
11/1/2008,3.56
12/1/2008,3.05
1/1/2009,3.07
2/1/2009,3.13
3/1/2009,3.02
4/1/2009,3.13
5/1/2009,3.37
6/1/2009,3.47
7/1/2009,3.34
8/1/2009,3.31
9/1/2009,3.26
10/1/2009,3.21
11/1/2009,3.22
12/1/2009,3.14
1/1/2010,3.26
2/1/2010,3.17
3/1/2010,3.1
4/1/2010,3.06
5/1/2010,2.73
6/1/2010,2.54
7/1/2010,2.62
8/1/2010,2.35
9/1/2010,2.3
10/1/2010,2.35
11/1/2010,2.53
12/1/2010,2.91
1/1/2011,3.02
2/1/2011,3.2
3/1/2011,3.21
4/1/2011,3.34
5/1/2011,3.06
6/1/2011,2.89
7/1/2011,2.74
8/1/2011,2.21
9/1/2011,1.83
10/1/2011,2
11/1/2011,1.87
12/1/2011,1.93
1/1/2012,1.82
2/1/2012,1.85
3/1/2012,1.83
4/1/2012,1.62
5/1/2012,1.34
6/1/2012,1.3
7/1/2012,1.24
8/1/2012,1.34
9/1/2012,1.49
10/1/2012,1.47
11/1/2012,1.34
12/1/2012,1.3
1/1/2013,1.51
2/1/2013,1.54
3/1/2013,1.35
4/1/2013,1.2
5/1/2013,1.29
6/1/2013,1.53
7/1/2013,1.56
8/1/2013,1.73
9/1/2013,1.89
10/1/2013,1.76
11/1/2013,1.68
